year,annex2_co2_excLUC,annex1_co2_excLUC,world_co2_excLUC,annex2_co2_incLUC,annex1_co2_incLUC,world_co2_incLUC,annex2_ghg_excLUC,annex1_ghg_excLUC,world_ghg_excLUC,annex2_ghg_incLUC,annex1_ghg_incLUC,world_ghg_incLUC
2011,0.338517,0.435826,0.603255,0.464490,0.616936,0.978312,0.405693,0.529181,0.804518,0.594173,0.789852,1.373366
2012,0.343353,0.442088,0.618498,0.469443,0.623491,0.996547,0.410267,0.535375,0.822567,0.599122,0.796349,1.396395
2013,0.348229,0.448343,0.633879,0.474409,0.629967,1.014767,0.414888,0.541618,0.840713,0.603994,0.802766,1.419318
2014,0.353031,0.454505,0.649343,0.479308,0.636307,1.033115,0.419475,0.547855,0.858968,0.608856,0.809187,1.442406
2015,0.357760,0.460589,0.664761,0.484112,0.642674,1.051468,0.423983,0.554014,0.877042,0.613610,0.815669,1.465360
2016,0.362407,0.466605,0.680167,0.488879,0.649012,1.069297,0.428357,0.560104,0.894958,0.618258,0.822136,1.487708
2017,0.367025,0.472625,0.695821,0.493647,0.655369,1.087348,0.432753,0.566276,0.913306,0.623014,0.828791,1.510649
2018,0.371670,0.478692,0.711801,0.498410,0.661695,1.105533,0.437290,0.572678,0.932452,0.627881,0.835638,1.534131
2019,0.376187,0.484601,0.727939,0.503032,0.667832,1.123877,0.441777,0.579024,0.951956,0.632598,0.842338,1.557891
2020,0.380272,0.490021,0.743387,0.507231,0.673467,1.141366,0.445717,0.584735,0.970241,0.636739,0.848369,1.580391
2021,0.384580,0.495727,0.759588,0.511669,0.679424,1.159670,0.449998,0.590885,0.989629,0.641248,0.854897,1.604142
2022,0.388858,0.501355,0.776046,0.516069,0.685339,1.178290,0.454315,0.597013,1.009746,0.645778,0.861423,1.628671
2023,0.392970,0.506828,0.792707,0.520306,0.691104,1.197094,0.458497,0.603005,1.029962,0.650266,0.867906,1.653320
2024,0.397045,0.512289,0.809546,0.524499,0.696845,1.216003,0.462642,0.608987,1.050282,0.654655,0.874334,1.677985
